"FW","Ecosystem","TL","TTE"
"691","marine","1_2",0.0828145637562115
"692","marine","1_2",0.0615394862285841
"693","marine","1_2",0.0420322211236943
"703","marine","1_2",0.186916358925735
"704","marine","1_2",0.419524041847208
"705","marine","1_2",0.431395339424577
"706","marine","1_2",0.381976679236968
"707","marine","1_2",0.395461558529261
"711","marine","1_2",0.298731572963227
"725","marine","1_2",0.205456756463485
"726","marine","1_2",0.222892107141131
"727","marine","1_2",1.3697286688771
"728","marine","1_2",0.322717147725169
"730","marine","1_2",0.0455900487972495
"731","marine","1_2",0.173551221272402
"732","marine","1_2",0.170274014428506
"733","marine","1_2",0.167416563526628
"734","marine","1_2",0.396390047020557
"735","marine","1_2",0.451515818447873
"736","marine","1_2",0.423140331163355
"737","marine","1_2",0.441636693200594
"738","marine","1_2",0.041572108901152
"739","marine","1_2",0.250270110472793
"740","marine","1_2",0.0491163506609564
"741","marine","1_2",0.430975213699482
"742","marine","1_2",1.31539009489248
"743","marine","1_2",0.128607617728033
"744","freshwater","1_2",0.502889370149433
"M1","marine","1_2",0.244788296333323
"M10","marine","1_2",0.297387637574097
"M100","marine","1_2",0.0502620005517815
"M101","marine","1_2",0.0264087657633543
"M102","marine","1_2",0.151779343157895
"M103","marine","1_2",0.289157270662655
"M104","freshwater","1_2",0.199592535120217
"M106","marine","1_2",0.397452510813565
"M107","marine","1_2",0.423143591876584
"M108","marine","1_2",0.167423360642615
"M109","marine","1_2",2.07153877106346
"M11","marine","1_2",0.163013513844369
"M110","marine","1_2",0.397475767806283
"M111","marine","1_2",0.128585578864985
"M112","marine","1_2",0.0588870514972398
"M113","marine","1_2",0.0955547583885369
"M114","marine","1_2",0.336247964121406
"M115","marine","1_2",0.11626779621594
"M116","marine","1_2",0.0682905600027885
"M12","marine","1_2",0.210063266909855
"M13","marine","1_2",0.344157699740074
"M14","freshwater","1_2",0.257414942424337
"M15","freshwater","1_2",0.304656639848044
"M16","freshwater","1_2",0.158728190191164
"M17","marine","1_2",0.725500340076244
"M18","marine","1_2",0.12766318072828
"M19","marine","1_2",0.257014515728782
"M2","marine","1_2",0.68903643226427
"M20","marine","1_2",0.209744815027458
"M21","marine","1_2",0.326548612132428
"M22","marine","1_2",0.13694845906952
"M23","marine","1_2",0.13612376598818
"M24","marine","1_2",0.627438994432714
"M26","marine","1_2",0.0792289593210318
"M27","marine","1_2",0.0867809099805469
"M28","marine","1_2",0.112302229364989
"M29","marine","1_2",0.207922940184248
"M3","marine","1_2",0.322558161644258
"M30","marine","1_2",0.00979656296303174
"M31","marine","1_2",0.112193148934568
"M32","marine","1_2",0.578904534450086
"M33","marine","1_2",0.0663044190056199
"M34","marine","1_2",0.196048340106201
"M35","marine","1_2",0.155722239946277
"M36","marine","1_2",0.231107135584227
"M37","marine","1_2",0.293765280636639
"M38","freshwater","1_2",0.136614248455942
"M39","marine","1_2",0.222923424432993
"M4","marine","1_2",Inf
"M40","marine","1_2",0.147729517028044
"M41","freshwater","1_2",0.0167557015837685
"M43","freshwater","1_2",0.15803722122861
"M44","marine","1_2",0.00980943452144128
"M45","freshwater","1_2",0.351711890003074
"M46","freshwater","1_2",0.593729435832598
"M47","marine","1_2",0.0554833368835856
"M48","marine","1_2",0.174949126377137
"M49","marine","1_2",0.305208946616244
"M5","marine","1_2",0.200143944919266
"M50","marine","1_2",0.186035319669086
"M51","freshwater","1_2",0.0440146661036075
"M52","freshwater","1_2",2.40275266501776
"M53","freshwater","1_2",0.226855546528106
"M54","freshwater","1_2",0.140274105546822
"M56","marine","1_2",0.248290021217876
"M57","marine","1_2",0.0358527634860686
"M58","marine","1_2",0.10451550606418
"M59","marine","1_2",0.48501317873367
"M6","marine","1_2",Inf
"M60","freshwater","1_2",0.5373146564725
"M61","marine","1_2",0.283933331916605
"M63","marine","1_2",0.55654757433097
"M64","marine","1_2",0.449114443774557
"M65","freshwater","1_2",0.27248940285698
"M66","marine","1_2",0.706924689254098
"M67","freshwater","1_2",0.108045209631873
"M68","freshwater","1_2",0.15803722122861
"M69","marine","1_2",0.204182697857183
"M7","freshwater","1_2",0.253580489259572
"M70","marine","1_2",0.217501380918935
"M71","freshwater","1_2",0.23022899777947
"M72","marine","1_2",0.0212285319988612
"M73","marine","1_2",0.0169261228689897
"M74","marine","1_2",0.223044167684168
"M75","marine","1_2",0.51918993975855
"M76","marine","1_2",0.060359264699349
"M77","marine","1_2",0.434605729719052
"M78","marine","1_2",0.413246904272484
"M79","marine","1_2",0.347756178888308
"M8","marine","1_2",0.168450003978803
"M80","marine","1_2",0.0340585879171714
"M81","marine","1_2",0.144090952549485
"M82","marine","1_2",0.234825000914968
"M83","marine","1_2",0.23532290238297
"M85","marine","1_2",0.605466380767814
"M86","freshwater","1_2",0.100728063444465
"M87","marine","1_2",0.398774921681432
"M88","marine","1_2",0.0645214135194111
"M89","marine","1_2",0.0627306158014463
"M9","marine","1_2",0.0672644755988298
"M90","marine","1_2",0.276342194439522
"M91","marine","1_2",0.268534024005315
"M93","marine","1_2",0.0129678868798179
"M94","marine","1_2",3.91714830546186
"M95","marine","1_2",0.209744815027458
"M96","marine","1_2",0.164310922383979
"M97","marine","1_2",0.113208162827211
"M98","freshwater","1_2",0.437196179782554
"M99","freshwater","1_2",0.486409139991055
"2","marine","2_3",0.0590896838356419
"7","marine","2_3",0.149568562021541
"24","marine","2_3",0.145823336064795
"34","marine","2_3",0.227466654864123
"40","marine","2_3",0.0704110066304291
"41","marine","2_3",0.1211224697682
"46","marine","2_3",0.176595124144659
"48","marine","2_3",0.21885554906928
"53","marine","2_3",0.104226567432047
"58","marine","2_3",0.0519141761166712
"68","marine","2_3",0.0829784270384841
"99","marine","2_3",0.246899505466938
"105","marine","2_3",0.188240236019099
"107","marine","2_3",0.132282053359472
"108","marine","2_3",0.120350446279629
"115","marine","2_3",0.0948419972461906
"116","marine","2_3",0.0600931739701415
"118","marine","2_3",0.0947498252446353
"133","marine","2_3",0.0391378532975571
"135","marine","2_3",0.184698817472908
"136","marine","2_3",0.201012550401946
"137","marine","2_3",0.212547030151368
"145","marine","2_3",0.0666285618503458
"153","marine","2_3",0.0854615612818269
"179","marine","2_3",0.0628376669463795
"180","marine","2_3",0.0611140309682047
"189","marine","2_3",0.086391705706036
"217","marine","2_3",0.0144713426630747
"218","marine","2_3",0.0829804355685741
"227","marine","2_3",0.140644691918112
"232","marine","2_3",0.122662350872174
"239","marine","2_3",0.0744608061331954
"240","marine","2_3",0.0933652930030964
"241","marine","2_3",0.125848024445316
"243","marine","2_3",0.0747509937471893
"246","marine","2_3",0.0559206029760431
"252","marine","2_3",0.181030127758104
"266","marine","2_3",0.314960711255789
"267","marine","2_3",0.0840966662308004
"269","marine","2_3",0.305195169951218
"279","marine","2_3",0.149991607030751
"282","marine","2_3",0.0748990597866766
"289","marine","2_3",0.090808665935049
"291","marine","2_3",0.112807515587061
"305","marine","2_3",0.159992476373768
"311","marine","2_3",0.0157551709282516
"312","marine","2_3",0.0160993372064554
"318","marine","2_3",0.0910637995613695
"320","marine","2_3",0.196937176747239
"323","marine","2_3",0.196438515435454
"324","marine","2_3",0.200640954801037
"325","marine","2_3",0.115681799748739
"328","marine","2_3",0.073485080288532
"335","marine","2_3",0.118384635758584
"400","marine","2_3",0.318436574616964
"401","marine","2_3",0.232099460432456
"403","marine","2_3",0.155181630839523
"405","marine","2_3",0.0622764172771478
"406","marine","2_3",0.152683318442369
"407","marine","2_3",0.600645563106214
"410","marine","2_3",0.0202583670261727
"411","marine","2_3",0.202065873390692
"412","marine","2_3",0.131299212956948
"413","marine","2_3",0.0772507085866854
"414","marine","2_3",0.230905437015046
