"new.id","eff","Ecosystems","Ecosystem.origin","Ecosystem.type","Ecosystem.type2","resource","consumer","TL","Definition","element","element2"
"8",0.154365593,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.169416048,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.217121095,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.269758257,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.046415888,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.064280731,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.089021509,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.148496826,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.284803587,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.343046929,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.376493581,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.37868912,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.509413801,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.722080902,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.774263683,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.00835059,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.009111628,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.012915497,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.013848864,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.061359073,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.097700996,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.247707636,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.27825594,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.376493581,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.422924287,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.533669923,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.657933225,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.0869749,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.089021509,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.097700996,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.112332403,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.121152766,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.132194115,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.141747416,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.141747416,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.162975083,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.166810054,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.170735265,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.178864953,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.657933225,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.019179103,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.023236013,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.117681195,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.135304777,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.010058315,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.05094138,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore",NA,"I_II","Ingestion","C","Energy"
